"_col0","main_category","new_customer","_col3"
"2020-04-01","Consumer Electronics",1,342
"2020-03-19","Home Appliances",0,3103
"2020-03-14","Computer & Laptop",0,295
"2020-03-08","Consumer Electronics",0,3123
"2020-03-23","Computer & Laptop",0,703
"2020-03-09","Mobile & Accessories",1,8057
"2020-04-09","Home Appliances",1,7567
"2020-03-18","Mobile & Accessories",1,1050
"2020-03-29","Consumer Electronics",1,456
"2020-04-12","Home Appliances",1,468
"2020-03-19","Mobile & Accessories",0,20606
"2020-03-15","Consumer Electronics",1,416
"2020-03-28","Home Appliances",1,616
"2020-03-26","Computer & Laptop",1,155
"2020-03-25","Home Appliances",1,1305
"2020-03-23","Home Appliances",1,658
"2020-03-09","Mobile & Accessories",0,127772
"2020-03-29","Computer & Laptop",0,329
"2020-03-26","Home Appliances",0,7214
"2020-04-04","Consumer Electronics",0,3763
"2020-03-21","Computer & Laptop",0,625
"2020-03-15","Home Appliances",0,1357
"2020-04-07","Computer & Laptop",1,386
"2020-03-10","Computer & Laptop",1,107
"2020-03-08","Mobile & Accessories",0,37497
"2020-04-10","Consumer Electronics",0,8006
"2020-04-14","Home Appliances",0,3293
"2020-04-11","Computer & Laptop",1,91
"2020-03-20","Mobile & Accessories",0,24279
"2020-04-13","Home Appliances",1,1067
"2020-04-03","Consumer Electronics",0,2643
"2020-03-16","Consumer Electronics",1,415
"2020-03-13","Consumer Electronics",0,1640
"2020-03-31","Home Appliances",1,636
"2020-03-21","Consumer Electronics",0,3244
"2020-03-10","Mobile & Accessories",0,139915
"2020-04-13","Consumer Electronics",0,10573
"2020-03-29","Computer & Laptop",1,97
"2020-04-01","Computer & Laptop",0,687
"2020-03-13","Home Appliances",1,305
"2020-04-03","Mobile & Accessories",1,1120
"2020-03-24","Mobile & Accessories",1,5563
"2020-03-31","Home Appliances",0,3610
"2020-04-07","Consumer Electronics",1,2069
"2020-03-11","Computer & Laptop",1,103
"2020-03-23","Consumer Electronics",0,4163
"2020-03-14","Home Appliances",0,2348
"2020-04-14","Mobile & Accessories",0,52008
"2020-03-16","Consumer Electronics",0,2301
"2020-04-11","Computer & Laptop",0,795
"2020-04-15","Mobile & Accessories",1,3565
"2020-03-12","Home Appliances",1,332
"2020-03-31","Computer & Laptop",0,515
"2020-03-30","Computer & Laptop",1,103
"2020-03-11","Mobile & Accessories",0,20997
"2020-03-12","Computer & Laptop",0,634
"2020-04-10","Consumer Electronics",1,876
"2020-03-09","Home Appliances",1,898
"2020-04-11","Mobile & Accessories",1,2154
"2020-03-08","Consumer Electronics",1,603
"2020-03-22","Mobile & Accessories",0,21083
"2020-03-09","Computer & Laptop",0,3404
"2020-03-24","Computer & Laptop",1,697
"2020-03-18","Consumer Electronics",1,396
"2020-03-25","Mobile & Accessories",0,25400
"2020-04-09","Mobile & Accessories",1,21176
"2020-03-11","Home Appliances",0,2548
"2020-03-12","Mobile & Accessories",0,22890
"2020-04-01","Mobile & Accessories",0,20615
"2020-03-14","Consumer Electronics",0,1670
"2020-04-04","Computer & Laptop",0,804
"2020-03-21","Consumer Electronics",1,489
"2020-03-19","Computer & Laptop",0,669
"2020-03-28","Consumer Electronics",1,427
"2020-03-18","Computer & Laptop",1,126
"2020-03-16","Home Appliances",0,1579
"2020-03-17","Consumer Electronics",1,333
"2020-03-10","Home Appliances",0,22121
"2020-04-13","Mobile & Accessories",0,111972
"2020-03-08","Computer & Laptop",0,492
"2020-03-23","Consumer Electronics",1,549
"2020-03-15","Mobile & Accessories",0,14818
"2020-03-25","Consumer Electronics",1,599
"2020-03-10","Mobile & Accessories",1,11326
"2020-04-13","Consumer Electronics",1,1713
"2020-04-04","Mobile & Accessories",0,35212
"2020-03-19","Home Appliances",1,597
"2020-03-14","Computer & Laptop",1,75
"2020-03-18","Mobile & Accessories",0,15842
"2020-04-08","Home Appliances",1,2520
"2020-03-29","Consumer Electronics",0,2565
"2020-03-20","Consumer Electronics",1,441
"2020-03-11","Computer & Laptop",0,545
"2020-04-15","Computer & Laptop",1,242
"2020-03-27","Mobile & Accessories",0,51768
"2020-04-02","Mobile & Accessories",0,19398
"2020-04-15","Consumer Electronics",0,7703
"2020-03-17","Home Appliances",0,2415
"2020-04-02","Home Appliances",1,890
"2020-03-16","Computer & Laptop",0,668
"2020-03-13","Consumer Electronics",1,286
"2020-03-19","Computer & Laptop",1,121
"2020-03-24","Home Appliances",1,2691
"2020-03-08","Home Appliances",1,906
"2020-04-05","Consumer Electronics",1,485
"2020-04-12","Mobile & Accessories",0,51317
"2020-03-27","Computer & Laptop",0,1232
"2020-03-24","Consumer Electronics",0,16735
"2020-03-14","Home Appliances",1,483
"2020-04-14","Mobile & Accessories",1,2139
"2020-03-30","Mobile & Accessories",0,25025
"2020-03-12","Computer & Laptop",1,120
"2020-04-01","Computer & Laptop",1,194
"2020-03-26","Consumer Electronics",1,430
"2020-03-17","Computer & Laptop",0,776
"2020-03-22","Home Appliances",0,5395
"2020-03-15","Mobile & Accessories",1,807
"2020-04-13","Home Appliances",0,6117
"2020-03-27","Mobile & Accessories",1,2982
"2020-03-28","Mobile & Accessories",0,26622
"2020-04-03","Home Appliances",0,4110
"2020-03-16","Home Appliances",1,311
"2020-04-07","Computer & Laptop",0,1961
"2020-04-09","Home Appliances",0,49731
"2020-04-06","Computer & Laptop",1,234
"2020-03-11","Consumer Electronics",1,333
"2020-04-05","Home Appliances",1,987
"2020-03-26","Consumer Electronics",0,3799
"2020-04-06","Consumer Electronics",0,3904
"2020-04-03","Computer & Laptop",1,229
"2020-03-21","Mobile & Accessories",1,1278
"2020-04-10","Mobile & Accessories",1,2677
"2020-04-12","Computer & Laptop",0,744
"2020-03-23","Mobile & Accessories",0,19056
"2020-03-16","Computer & Laptop",1,212
"2020-04-08","Home Appliances",0,15163
"2020-03-12","Mobile & Accessories",1,1125
"2020-04-15","Consumer Electronics",1,990
"2020-03-11","Consumer Electronics",0,2250
"2020-04-06","Computer & Laptop",0,938
"2020-04-01","Mobile & Accessories",1,1214
"2020-03-25","Consumer Electronics",0,6208
"2020-03-25","Computer & Laptop",0,1126
"2020-04-12","Consumer Electronics",1,523
"2020-04-04","Home Appliances",1,1277
"2020-04-03","Computer & Laptop",0,979
"2020-04-05","Home Appliances",0,5590
"2020-03-20","Mobile & Accessories",1,1804
"2020-04-09","Computer & Laptop",1,321
"2020-04-03","Consumer Electronics",1,424
"2020-03-30","Home Appliances",0,3818
"2020-04-14","Home Appliances",1,720
"2020-03-17","Mobile & Accessories",1,2264
"2020-03-28","Home Appliances",0,4015
"2020-03-31","Consumer Electronics",0,1922
"2020-04-06","Mobile & Accessories",0,17570
"2020-03-30","Consumer Electronics",1,406
"2020-03-21","Home Appliances",1,559
"2020-04-10","Home Appliances",1,790
"2020-04-08","Computer & Laptop",1,309
"2020-03-28","Mobile & Accessories",1,1438
"2020-04-03","Home Appliances",1,728
"2020-03-13","Mobile & Accessories",0,23687
"2020-04-02","Computer & Laptop",0,1580
"2020-03-30","Home Appliances",1,697
"2020-03-26","Computer & Laptop",0,760
"2020-03-25","Computer & Laptop",1,174
"2020-03-09","Computer & Laptop",1,912
"2020-03-10","Computer & Laptop",0,641
"2020-03-25","Mobile & Accessories",1,1391
"2020-03-11","Home Appliances",1,381
"2020-03-10","Consumer Electronics",0,9343
"2020-03-15","Computer & Laptop",1,64
"2020-03-09","Consumer Electronics",1,1733
"2020-04-06","Home Appliances",1,921
"2020-03-20","Home Appliances",1,1727
"2020-03-31","Mobile & Accessories",1,1415
"2020-04-07","Home Appliances",0,22589
"2020-04-07","Mobile & Accessories",0,78518
"2020-04-06","Mobile & Accessories",1,1017
"2020-03-27","Home Appliances",0,12987
"2020-03-31","Consumer Electronics",1,372
"2020-03-22","Computer & Laptop",0,651
