Ancestry,Donor Category,Date,IUI Number,IUI ART Number,ICI Number,ICI ART Number
Asian,ID,2022-02-28,7.681818181818182,3.6363636363636362,3.409090909090909,2.3636363636363638
Asian,ID,2022-03-01,7.681818181818182,3.6363636363636362,3.409090909090909,2.3636363636363638
Asian,ID,2022-03-02,7.454545454545454,3.6363636363636362,3.409090909090909,2.3636363636363638
Asian,ID,2022-03-03,7.454545454545454,3.6363636363636362,3.409090909090909,2.3636363636363638
Asian,ID,2022-03-04,7.454545454545454,3.6363636363636362,3.409090909090909,2.3636363636363638
Asian,ID,2022-03-05,7.454545454545454,3.6363636363636362,3.409090909090909,2.3636363636363638
Asian,ID,2022-03-06,7.454545454545454,3.6363636363636362,3.409090909090909,2.3636363636363638
Asian,ID,2022-03-07,7.454545454545454,3.6363636363636362,3.409090909090909,2.3636363636363638
Asian,ID,2022-03-08,7.454545454545454,3.6363636363636362,3.3636363636363638,2.3636363636363638
Asian,ID,2022-03-09,7.454545454545454,3.6363636363636362,3.3636363636363638,2.3636363636363638
Asian,ID,2022-03-10,7.454545454545454,3.6363636363636362,3.3636363636363638,2.3636363636363638
Asian,ID,2022-03-11,7.454545454545454,3.6363636363636362,3.3636363636363638,2.3636363636363638
Asian,ID,2022-03-12,7.454545454545454,3.8636363636363638,3.409090909090909,2.3636363636363638
Asian,ID,2022-03-13,7.454545454545454,3.8636363636363638,3.409090909090909,2.3636363636363638
Asian,ID,2022-03-14,7.454545454545454,3.8636363636363638,3.409090909090909,2.3636363636363638
Asian,ID,2022-03-15,7.173913043478261,3.6956521739130435,3.260869565217391,2.1739130434782608
Asian,ID,2022-03-16,7.173913043478261,3.6956521739130435,3.260869565217391,2.1739130434782608
Asian,ID,2022-03-17,7.173913043478261,3.6956521739130435,3.260869565217391,2.1739130434782608
Asian,ID,2022-03-18,7.173913043478261,3.6956521739130435,3.260869565217391,2.260869565217391
Asian,ID,2022-03-19,7.173913043478261,3.6956521739130435,3.260869565217391,2.260869565217391
Asian,ID,2022-03-20,7.173913043478261,3.6956521739130435,3.260869565217391,2.260869565217391
Asian,ID,2022-03-21,7.173913043478261,3.6956521739130435,3.260869565217391,2.260869565217391
Asian,ID,2022-03-22,7.130434782608695,3.6956521739130435,3.260869565217391,2.260869565217391
Asian,ID,2022-03-23,7.130434782608695,3.6956521739130435,3.260869565217391,2.260869565217391
Asian,ID,2022-03-24,7.130434782608695,3.6956521739130435,3.260869565217391,2.260869565217391
Asian,ID,2022-03-25,7.130434782608695,3.6956521739130435,3.260869565217391,2.1739130434782608
Asian,ID,2022-03-26,7.130434782608695,3.6956521739130435,3.260869565217391,2.1739130434782608
Asian,ID,2022-03-27,7.454545454545454,3.8636363636363638,3.409090909090909,2.272727272727273
Asian,ID,2022-03-28,7.454545454545454,3.8636363636363638,3.409090909090909,2.272727272727273
Asian,ID,2022-03-29,7.454545454545454,3.8636363636363638,3.409090909090909,2.272727272727273
Asian,ID,2022-03-30,7.454545454545454,3.8636363636363638,3.409090909090909,2.272727272727273
Asian,ID,2022-03-31,7.454545454545454,3.8636363636363638,3.409090909090909,2.272727272727273
Asian,ID Graduate,2022-02-28,6.866666666666666,4.857142857142857,4.214285714285714,2.2857142857142856
Asian,ID Graduate,2022-03-01,6.866666666666666,4.857142857142857,4.214285714285714,2.2857142857142856
Asian,ID Graduate,2022-03-02,6.866666666666666,4.857142857142857,4.214285714285714,2.2857142857142856
Asian,ID Graduate,2022-03-03,6.866666666666666,4.533333333333333,3.933333333333333,2.1333333333333333
Asian,ID Graduate,2022-03-04,6.866666666666666,4.533333333333333,3.933333333333333,2.1333333333333333
Asian,ID Graduate,2022-03-05,6.4375,4.25,3.6875,2.0
Asian,ID Graduate,2022-03-06,6.4375,4.533333333333333,3.933333333333333,2.1333333333333333
Asian,ID Graduate,2022-03-07,6.4375,4.25,3.6875,2.0
Asian,ID Graduate,2022-03-08,6.0588235294117645,4.0,3.5294117647058822,1.8823529411764706
Asian,ID Graduate,2022-03-09,6.4375,4.25,3.75,2.0
Asian,ID Graduate,2022-03-10,6.4375,4.3125,3.75,2.0
Asian,ID Graduate,2022-03-11,6.375,4.3125,3.75,2.0
Asian,ID Graduate,2022-03-12,6.375,4.3125,3.75,2.0
Asian,ID Graduate,2022-03-13,6.375,4.3125,3.75,2.0
Asian,ID Graduate,2022-03-14,6.0,4.0588235294117645,3.5294117647058822,1.8823529411764706
Asian,ID Graduate,2022-03-15,6.0,4.3125,3.75,2.0
Asian,ID Graduate,2022-03-16,6.0,4.3125,3.75,2.0
Asian,ID Graduate,2022-03-17,6.375,4.266666666666667,4.0,2.1333333333333333
Asian,ID Graduate,2022-03-18,6.375,4.266666666666667,3.8666666666666667,2.1333333333333333
Asian,ID Graduate,2022-03-19,6.375,4.266666666666667,3.8666666666666667,2.1333333333333333
Asian,ID Graduate,2022-03-20,6.375,4.266666666666667,3.8666666666666667,2.1333333333333333
Asian,ID Graduate,2022-03-21,6.375,4.266666666666667,3.8666666666666667,2.1333333333333333
Asian,ID Graduate,2022-03-22,6.375,4.266666666666667,3.8666666666666667,2.1333333333333333
Asian,ID Graduate,2022-03-23,6.375,4.266666666666667,3.8666666666666667,2.1333333333333333
Asian,ID Graduate,2022-03-24,6.375,4.266666666666667,3.8666666666666667,2.1333333333333333
Asian,ID Graduate,2022-03-25,6.3125,4.266666666666667,3.8666666666666667,2.1333333333333333
Asian,ID Graduate,2022-03-26,6.25,4.266666666666667,3.8666666666666667,2.1333333333333333
